,# time passed,number of events,total number,average number
0,7.5,232.0,232.0,30.933333333333334
1,15.0,240.0,472.0,62.93333333333333
2,22.5,245.0,717.0,95.6
3,30.0,226.0,943.0,125.73333333333333
4,37.5,223.0,1166.0,155.46666666666667
5,45.0,218.0,1384.0,184.53333333333333
6,52.5,207.0,1591.0,212.13333333333333
7,60.0,235.0,1826.0,243.46666666666667
8,67.5,260.0,2086.0,278.1333333333333
9,75.0,218.0,2304.0,307.2
10,82.5,207.0,2511.0,334.8
11,90.0,259.0,2770.0,369.3333333333333
12,97.5,245.0,3015.0,402.0
13,105.0,269.0,3284.0,437.8666666666667
14,112.5,229.0,3513.0,468.4
15,120.0,246.0,3759.0,501.2
16,127.5,234.0,3993.0,532.4
17,135.0,232.0,4225.0,563.3333333333334
18,142.5,213.0,4438.0,591.7333333333333
19,150.0,230.0,4668.0,622.4
20,157.5,237.0,4905.0,654.0
21,165.0,226.0,5131.0,684.1333333333333
22,172.5,242.0,5373.0,716.4
23,180.0,238.0,5611.0,748.1333333333333
24,187.5,249.0,5860.0,781.3333333333334
25,195.0,202.0,6062.0,808.2666666666667
26,202.5,246.0,6308.0,841.0666666666667
27,210.0,244.0,6552.0,873.6
28,217.5,226.0,6778.0,903.7333333333333
29,225.0,215.0,6993.0,932.4
30,232.5,273.0,7266.0,968.8
31,240.0,236.0,7502.0,1000.2666666666667
32,247.5,248.0,7750.0,1033.3333333333333
33,255.0,213.0,7963.0,1061.7333333333333
34,262.5,226.0,8189.0,1091.8666666666666
35,270.0,224.0,8413.0,1121.7333333333333
36,277.5,237.0,8650.0,1153.3333333333333
37,285.0,230.0,8880.0,1184.0
38,292.5,256.0,9136.0,1218.1333333333334
39,300.0,230.0,9366.0,1248.8
40,307.5,240.0,9606.0,1280.8
41,315.0,243.0,9849.0,1313.2
42,322.5,232.0,10081.0,1344.1333333333334
43,330.0,237.0,10318.0,1375.7333333333333
44,337.5,230.0,10548.0,1406.4
45,345.0,222.0,10770.0,1436.0
46,352.5,237.0,11007.0,1467.6
47,360.0,230.0,11237.0,1498.2666666666667
48,367.5,240.0,11477.0,1530.2666666666667
49,375.0,235.0,11712.0,1561.6
50,382.5,240.0,11952.0,1593.6
51,390.0,232.0,12184.0,1624.5333333333333
52,397.5,222.0,12406.0,1654.1333333333334
53,405.0,244.0,12650.0,1686.6666666666667
54,412.5,234.0,12884.0,1717.8666666666666
55,420.0,253.0,13137.0,1751.6
56,427.5,257.0,13394.0,1785.8666666666666
57,435.0,241.0,13635.0,1818.0
58,442.5,234.0,13869.0,1849.2
59,450.0,234.0,14103.0,1880.4
60,457.5,232.0,14335.0,1911.3333333333333
61,465.0,224.0,14559.0,1941.2
62,472.5,257.0,14816.0,1975.4666666666667
63,480.0,222.0,15038.0,2005.0666666666666
64,487.5,228.0,15266.0,2035.4666666666667
65,495.0,232.0,15498.0,2066.4
66,502.5,228.0,15726.0,2096.8
67,510.0,193.0,15919.0,2122.5333333333333
68,517.5,239.0,16158.0,2154.4
69,525.0,241.0,16399.0,2186.5333333333333
70,532.5,250.0,16649.0,2219.866666666667
71,540.0,244.0,16893.0,2252.4
72,547.5,224.0,17117.0,2282.266666666667
73,555.0,249.0,17366.0,2315.4666666666667
74,562.5,238.0,17604.0,2347.2
75,570.0,214.0,17818.0,2375.733333333333
76,577.5,262.0,18080.0,2410.6666666666665
77,585.0,232.0,18312.0,2441.6
78,592.5,233.0,18545.0,2472.6666666666665
79,600.0,212.0,18757.0,2500.9333333333334
80,607.5,229.0,18986.0,2531.4666666666667
81,615.0,221.0,19207.0,2560.9333333333334
82,622.5,236.0,19443.0,2592.4
83,630.0,249.0,19692.0,2625.6
84,637.5,231.0,19923.0,2656.4
85,645.0,237.0,20160.0,2688.0
86,652.5,269.0,20429.0,2723.866666666667
87,660.0,255.0,20684.0,2757.866666666667
88,667.5,246.0,20930.0,2790.6666666666665
89,675.0,218.0,21148.0,2819.733333333333
90,682.5,228.0,21376.0,2850.133333333333
91,690.0,232.0,21608.0,2881.0666666666666
92,697.5,251.0,21859.0,2914.5333333333333
93,705.0,216.0,22075.0,2943.3333333333335
94,712.5,233.0,22308.0,2974.4
95,720.0,217.0,22525.0,3003.3333333333335
96,727.5,222.0,22747.0,3032.9333333333334
97,735.0,215.0,22962.0,3061.6
98,742.5,209.0,23171.0,3089.4666666666667
99,750.0,232.0,23403.0,3120.4
100,757.5,236.0,23639.0,3151.866666666667
101,765.0,226.0,23865.0,3182.0
102,772.5,247.0,24112.0,3214.9333333333334
103,780.0,253.0,24365.0,3248.6666666666665
104,787.5,212.0,24577.0,3276.9333333333334
105,795.0,255.0,24832.0,3310.9333333333334
106,802.5,231.0,25063.0,3341.733333333333
107,810.0,231.0,25294.0,3372.5333333333333
108,817.5,240.0,25534.0,3404.5333333333333
109,825.0,224.0,25758.0,3434.4
110,832.5,231.0,25989.0,3465.2
111,840.0,233.0,26222.0,3496.266666666667
112,847.5,246.0,26468.0,3529.0666666666666
113,855.0,220.0,26688.0,3558.4
114,862.5,265.0,26953.0,3593.733333333333
115,870.0,246.0,27199.0,3626.5333333333333
116,877.5,263.0,27462.0,3661.6
117,885.0,243.0,27705.0,3694.0
118,892.5,240.0,27945.0,3726.0
119,900.0,225.0,28170.0,3756.0
120,907.5,237.0,28407.0,3787.6
121,915.0,240.0,28647.0,3819.6
122,922.5,235.0,28882.0,3850.9333333333334
123,930.0,219.0,29101.0,3880.133333333333
124,937.5,233.0,29334.0,3911.2
125,945.0,266.0,29600.0,3946.6666666666665
126,952.5,232.0,29832.0,3977.6
127,960.0,252.0,30084.0,4011.2
128,967.5,247.0,30331.0,4044.133333333333
129,975.0,223.0,30554.0,4073.866666666667
130,982.5,216.0,30770.0,4102.666666666667
131,990.0,222.0,30992.0,4132.266666666666
132,997.5,239.0,31231.0,4164.133333333333
133,1005.0,240.0,31471.0,4196.133333333333
134,1012.5,226.0,31697.0,4226.266666666666
135,1020.0,235.0,31932.0,4257.6
136,1027.5,239.0,32171.0,4289.466666666666
137,1035.0,248.0,32419.0,4322.533333333334
138,1042.5,275.0,32694.0,4359.2
139,1050.0,261.0,32955.0,4394.0
140,1057.5,253.0,33208.0,4427.733333333334
141,1065.0,227.0,33435.0,4458.0
142,1072.5,231.0,33666.0,4488.8
143,1080.0,231.0,33897.0,4519.6
144,1087.5,227.0,34124.0,4549.866666666667
145,1095.0,224.0,34348.0,4579.733333333334
146,1102.5,253.0,34601.0,4613.466666666666
147,1110.0,243.0,34844.0,4645.866666666667
148,1117.5,231.0,35075.0,4676.666666666667
149,1125.0,234.0,35309.0,4707.866666666667
150,1132.5,246.0,35555.0,4740.666666666667
151,1140.0,226.0,35781.0,4770.8
152,1147.5,229.0,36010.0,4801.333333333333
153,1155.0,226.0,36236.0,4831.466666666666
154,1162.5,245.0,36481.0,4864.133333333333
155,1170.0,225.0,36706.0,4894.133333333333
156,1177.5,244.0,36950.0,4926.666666666667
157,1185.0,267.0,37217.0,4962.266666666666
158,1192.5,213.0,37430.0,4990.666666666667
159,1200.0,222.0,37652.0,5020.266666666666
160,1207.5,222.0,37874.0,5049.866666666667
161,1215.0,223.0,38097.0,5079.6
162,1222.5,265.0,38362.0,5114.933333333333
163,1230.0,232.0,38594.0,5145.866666666667
164,1237.5,232.0,38826.0,5176.8
165,1245.0,217.0,39043.0,5205.733333333334
166,1252.5,260.0,39303.0,5240.4
167,1260.0,230.0,39533.0,5271.066666666667
168,1267.5,257.0,39790.0,5305.333333333333
169,1275.0,202.0,39992.0,5332.266666666666
170,1282.5,233.0,40225.0,5363.333333333333
171,1290.0,232.0,40457.0,5394.266666666666
172,1297.5,258.0,40715.0,5428.666666666667
173,1305.0,231.0,40946.0,5459.466666666666
174,1312.5,231.0,41177.0,5490.266666666666
175,1320.0,234.0,41411.0,5521.466666666666
176,1327.5,224.0,41635.0,5551.333333333333
177,1335.0,226.0,41861.0,5581.466666666666
